moneda,institucion,periodo,situacion_credito,responsabilidad_total,,,,,,,,,,
Moneda extranjera,ABC Capital,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Accendo Banco,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Actinver,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Autofin,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Banamex,May 2020,Vencido,2.74,,,,,,,,,,
Moneda extranjera,Banca Mifel,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Banco Base,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Banco del Bajío,May 2020,Vencido,29.97,,,,,,,,,,
Moneda extranjera,Bankaool,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Banorte,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Banregio,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Bansí,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,BBVA Bancomer,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Finterra,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,HSBC,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,ICBC,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Inbursa,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Inmobiliario Mexicano,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Intercam Banco,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Invex,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Monex,May 2020,Vencido,8.77,,,,,,,,,,
Moneda extranjera,MUFG Bank,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Multiva,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Sabadell,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Santander,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Scotiabank,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,Total Banca Múltiple,May 2020,Vencido,41.48,,,,,,,,,,
Moneda extranjera,Ve por Más,May 2020,Vencido,0,,,,,,,,,,
Moneda extranjera,ABC Capital,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Accendo Banco,May 2020,Vigente,11.17,,,,,,,,,,
Moneda extranjera,Actinver,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Afirme,May 2020,Vigente,36.15,,,,,,,,,,
Moneda extranjera,Autofin,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Banamex,May 2020,Vigente,48.45,,,,,,,,,,
Moneda extranjera,Banca Mifel,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Banco Ahorro Famsa,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Banco Azteca,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Banco Base,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Banco del Bajío,May 2020,Vigente,13.28,,,,,,,,,,
Moneda extranjera,BanCoppel,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Bancrea,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Bank of America,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Bank of China,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Bankaool,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Banorte,May 2020,Vigente,53.05,,,,,,,,,,
Moneda extranjera,Banregio,May 2020,Vigente,0.44,,,,,,,,,,
Moneda extranjera,Bansí,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,BBVA Bancomer,May 2020,Vigente,274.89,,,,,,,,,,
Moneda extranjera,BIAfirme,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,CIBanco,May 2020,Vigente,28.22,,,,,,,,,,
Moneda extranjera,Consubanco,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Dondé Banco,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Finterra,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,HSBC,May 2020,Vigente,85.75,,,,,,,,,,
Moneda extranjera,ICBC,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Inbursa,May 2020,Vigente,35.99,,,,,,,,,,
Moneda extranjera,Inmobiliario Mexicano,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Intercam Banco,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Invex,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,J.P. Morgan,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,KEB Hana Bank,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Mizuho Bank,May 2020,Vigente,11.15,,,,,,,,,,
Moneda extranjera,Monex,May 2020,Vigente,105.68,,,,,,,,,,
Moneda extranjera,MUFG Bank,May 2020,Vigente,33.29,,,,,,,,,,
Moneda extranjera,Multiva,May 2020,Vigente,0,,,,,,,,,,
Moneda extranjera,Sabadell,May 2020,Vigente,24.19,,,,,,,,,,
Moneda extranjera,Santander,May 2020,Vigente,168.54,,,,,,,,,,
Moneda extranjera,Scotiabank,May 2020,Vigente,67.26,,,,,,,,,,
Moneda extranjera,Shinhan,May 2020,Vigente,33.33,,,,,,,,,,
Moneda extranjera,Total Banca Múltiple,May 2020,Vigente,1064.2,,,,,,,,,,
Moneda extranjera,Ve por Más,May 2020,Vigente,33.34,,,,,,,,,,
Moneda nacional,ABC Capital,May 2020,Vencido,0,,,,,,,,,,
Moneda nacional,Accendo Banco,May 2020,Vencido,0,,,,,,,,,,
Moneda nacional,Actinver,May 2020,Vencido,0,,,,,,,,,,
Moneda nacional,Autofin,May 2020,Vencido,0,,,,,,,,,,
Moneda nacional,Banamex,May 2020,Vencido,562.04,,,,,,,,,,
Moneda nacional,Banca Mifel,May 2020,Vencido,0,,,,,,,,,,
Moneda nacional,Banco Base,May 2020,Vencido,0,,,,,,,,,,
Moneda nacional,Banco del Bajío,May 2020,Vencido,151.73,,,,,,,,,,
Moneda nacional,Bankaool,May 2020,Vencido,0,,,,,,,,,,
Moneda nacional,Banorte,May 2020,Vencido,5.59,,,,,,,,,,
Moneda nacional,Banregio,May 2020,Vencido,104.78,,,,,,,,,,
Moneda nacional,Bansí,May 2020,Vencido,22.27,,,,,,,,,,
Moneda nacional,BBVA Bancomer,May 2020,Vencido,64.03,,,,,,,,,,
Moneda nacional,Finterra,May 2020,Vencido,129.75,,,,,,,,,,
Moneda nacional,HSBC,May 2020,Vencido,47.85,,,,,,,,,,
Moneda nacional,ICBC,May 2020,Vencido,0,,,,,,,,,,
Moneda nacional,Inbursa,May 2020,Vencido,0,,,,,,,,,,
Moneda nacional,Inmobiliario Mexicano,May 2020,Vencido,148.39,,,,,,,,,,
Moneda nacional,Intercam Banco,May 2020,Vencido,0,,,,,,,,,,
Moneda nacional,Invex,May 2020,Vencido,26.47,,,,,,,,,,
Moneda nacional,Monex,May 2020,Vencido,1.01,,,,,,,,,,
Moneda nacional,MUFG Bank,May 2020,Vencido,0,,,,,,,,,,
